orbit_ok,cost,prop_used,prop1,prop2,throttle1,throttle2,pitch_start_alt,pitch_end_alt,max_alt,max_speed,max_q,final_alt,final_speed
False,1004733101.3122575,3733101.31225757,2527091.1620554994,920908.9175499557,0.9983433232670508,0.9718723485447124,5636.454480402239,94002.48568840338,223653.2632210767,10332.591061775904,345159.94191482716,0.0,426.5708686002274
False,1004797976.114677,3797976.114676987,2654364.5878842426,866787.0685022,0.9626663786987435,0.874420152749028,3498.833050259981,55026.74644592244,156919.7440625718,6300.876379188936,606050.9569722811,0.0,428.329056929383
False,1004883651.9429241,3883651.942924083,2510736.0490250657,1096473.4208026063,0.9175818682065722,0.83525071620333,4405.409568840561,86787.68143437844,343302.9167553922,4482.189511059575,625589.1240916419,1526.1491027018055,448.59537986998123
False,1004885323.1045563,3885323.104556326,2656208.144397807,948605.6349236745,0.9083748013673152,0.872562302567995,4224.031228069947,115554.38942693974,246850.18448690698,10106.522137787728,277248.40044293855,0.0,427.8413264841676
False,1005042969.790697,4042969.790697008,2754424.064942686,1015687.7887880218,0.8740248619185575,0.743389027886457,3431.7193112354544,101213.65112584084,306890.1553085707,4933.597299136318,550658.0266278677,0.0,434.080160155804
False,1005130678.5878469,4130678.5878468663,2587792.7084922185,1267835.3637230308,0.7642457205494526,0.8955073439702086,6978.246362650549,97505.44103478645,527852.5587146673,4692.990895158888,548133.8212935885,382190.5819749199,4199.275673071865
False,1005151724.9385918,4151724.938591799,3044383.408700484,829852.7618408054,0.9483516563992607,0.951567506802678,4684.861791636706,48690.622575080626,145332.40409847815,6824.439280727861,586292.3714532672,0.0,428.0306489958413
False,1005221952.1140293,4221952.114029313,3025457.8929589065,921059.4436254017,0.8822938568389717,0.7587050141792735,5317.745337366436,44661.536636274475,127800.26004424505,4895.662550272053,746641.2346004929,0.0,431.04747614965544
False,1005268243.7756453,4268243.775645227,3026136.5932177566,971027.4514177099,0.9468011806486762,0.8288049495020569,5050.801979490741,66401.01590133373,214974.76805433817,5431.235700323753,685444.148093704,0.0,431.85215425433347
False,1005292319.5323256,4292319.5323255975,3010687.4578887126,1005512.8725542634,0.9978278787203697,0.7058781323514555,7365.641996304015,48438.37208832381,177383.60166096222,4734.795886680093,913985.4891517924,0.0,431.87582498207917
False,1005307543.5707625,4307543.570762558,2647547.4509846633,1390563.1523530823,0.9497512978879586,0.8297826455914356,6648.0889821410765,91757.55112777202,424775.3486626828,4268.339148592366,800729.6347855462,242334.0558257401,4016.7240498443707
False,1005308307.8672619,4308307.867261863,2971669.5084927264,1057355.5772690943,0.7790055012701536,0.954947473575152,3679.7645780528355,92803.30317841632,428311.0699395966,4902.524100992307,413183.30292336695,156752.66821760684,4809.200652817019
False,1005310323.7907035,4310323.79070349,2742230.7489837357,1300185.9969074288,0.7539834724885485,0.7647621407868795,3144.013675678072,100271.7990837335,370749.50439665,4102.0257339560685,617450.3904539665,208104.6241701329,3917.0015179737893
False,1005378572.1360667,4378572.136066653,2812190.542986021,1296768.5247984563,0.8129384502981403,0.752458250127097,6278.474095310859,66965.86808993712,273970.489908427,3898.5195923388824,628583.7247528512,31025.249601463787,3636.533051894803
False,1005464260.3442668,4464260.344266762,3338354.6728345808,849667.4800309548,0.9928954076292745,0.8137096703660686,3701.5199453888845,106075.96270724478,249966.22393258382,10478.64247363965,222359.7388065191,0.0,433.34953277908403
False,1005550052.080969,4550052.080969004,3051314.669312898,1221172.179354015,0.9197905447344273,0.7317587868735053,6331.5718952826555,112962.25067076272,403862.6480165478,4343.713699141611,750068.731315514,211017.4691977473,3785.1051346507543
False,1005606775.9868722,4559290.007636146,3327949.460765036,954588.0597588522,0.7560493058858302,0.9149755126744841,5720.075359298247,61512.670084756435,326828.0454396298,5355.1219870504665,539943.789298624,35607.14306566492,5031.402458485001
False,1005638703.0789464,4638703.0789463,3434552.291113653,923249.1358898965,0.9008037635337424,0.9817115268349306,5211.016040221893,59687.032364585204,229483.4205293553,5631.694590159676,591387.1826201561,0.0,434.0850085310953
False,1005820660.7753428,4699341.535192841,3204160.9079199973,1223502.645371274,0.7295458038350634,0.8657013427820224,6902.200922259187,104836.02800448461,499797.41235174425,4574.42777769046,519366.3574995257,386330.7451981874,4061.098860372115
False,1005879860.6230987,4793988.241308414,3191737.406726832,1322351.7589723133,0.767009261732601,0.9620400080557971,5668.132442404146,107632.96134453238,628340.3567927768,5062.52015179899,495707.19195817964,576157.0396193033,4247.978614009198
